timestamp,zone,pressure,flow,temperature,label
2025-04-01 08:00:00,Zone C,2.67,13.57,25,normal
2025-04-01 08:05:00,Zone C,2.75,15.04,25,normal
2025-04-01 08:10:00,Zone C,2.94,14.19,20,normal
2025-04-01 08:15:00,Zone C,2.21,20.01,22,leak
2025-04-01 08:20:00,Zone B,2.52,15.4,18,normal
2025-04-01 08:25:00,Zone B,2.75,16.15,23,normal
2025-04-01 08:30:00,Zone A,2.07,21.31,19,leak
2025-04-01 08:35:00,Zone B,2.76,14.96,25,normal
2025-04-01 08:40:00,Zone B,2.61,15.99,18,normal
2025-04-01 08:45:00,Zone C,2.58,13.91,21,normal
2025-04-01 08:50:00,Zone C,2.65,13.21,24,normal
2025-04-01 08:55:00,Zone B,1.93,18.49,20,leak
2025-04-01 09:00:00,Zone A,2.91,15.62,23,normal
2025-04-01 09:05:00,Zone A,2.54,14.81,22,normal
2025-04-01 09:10:00,Zone A,2.5,14.98,20,normal
2025-04-01 09:15:00,Zone A,2.96,13.73,19,normal
2025-04-01 09:20:00,Zone B,2.83,16.86,23,normal
2025-04-01 09:25:00,Zone C,2.64,16.85,24,normal
2025-04-01 09:30:00,Zone A,2.87,16.72,25,normal
2025-04-01 09:35:00,Zone B,2.88,15.72,18,normal
2025-04-01 09:40:00,Zone A,2.73,13.14,19,normal
2025-04-01 09:45:00,Zone A,2.58,16.27,21,normal
2025-04-01 09:50:00,Zone B,2.66,15.81,22,normal
2025-04-01 09:55:00,Zone A,2.66,14.08,19,normal
2025-04-01 10:00:00,Zone C,2.72,13.58,25,normal
2025-04-01 10:05:00,Zone C,2.73,16.91,23,normal
2025-04-01 10:10:00,Zone B,1.87,20.75,22,leak
2025-04-01 10:15:00,Zone C,2.69,14.08,21,normal
2025-04-01 10:20:00,Zone A,2.82,16.4,23,normal
2025-04-01 10:25:00,Zone B,2.72,16.83,20,normal
2025-04-01 10:30:00,Zone B,2.69,14.83,19,normal
2025-04-01 10:35:00,Zone C,2.82,13.63,24,normal
2025-04-01 10:40:00,Zone A,2.59,15.11,19,normal
2025-04-01 10:45:00,Zone A,2.51,13.59,22,normal
2025-04-01 10:50:00,Zone B,2.63,16.24,25,normal
2025-04-01 10:55:00,Zone B,1.97,18.07,23,leak
2025-04-01 11:00:00,Zone A,2.76,15.26,22,normal
2025-04-01 11:05:00,Zone C,2.99,14.95,24,normal
2025-04-01 11:10:00,Zone B,2.95,13.72,22,normal
2025-04-01 11:15:00,Zone A,2.97,14.02,22,normal
2025-04-01 11:20:00,Zone A,2.95,14.9,25,normal
2025-04-01 11:25:00,Zone C,2.77,14.55,25,normal
2025-04-01 11:30:00,Zone B,1.91,21.31,22,leak
2025-04-01 11:35:00,Zone B,2.75,15.63,23,normal
2025-04-01 11:40:00,Zone C,2.8,16.42,20,normal
2025-04-01 11:45:00,Zone C,2.52,15.66,18,normal
2025-04-01 11:50:00,Zone C,2.69,13.06,22,normal
2025-04-01 11:55:00,Zone A,2.82,15.47,19,normal
2025-04-01 12:00:00,Zone B,2.73,16.71,24,normal
2025-04-01 12:05:00,Zone B,2.6,15.99,19,normal
2025-04-01 12:10:00,Zone C,2.72,15.02,24,normal
2025-04-01 12:15:00,Zone C,2.97,14.73,20,normal
2025-04-01 12:20:00,Zone A,2.66,14.56,20,normal
2025-04-01 12:25:00,Zone A,2.67,13.87,20,normal
2025-04-01 12:30:00,Zone B,2.66,15.34,23,normal
2025-04-01 12:35:00,Zone A,2.82,16.54,20,normal
2025-04-01 12:40:00,Zone C,1.82,19.13,24,leak
2025-04-01 12:45:00,Zone B,2.73,16.16,24,normal
2025-04-01 12:50:00,Zone C,2.71,15.68,22,normal
2025-04-01 12:55:00,Zone C,2.61,14.38,21,normal
2025-04-01 13:00:00,Zone C,2.5,13.56,18,normal
2025-04-01 13:05:00,Zone A,2.68,15.36,18,normal
2025-04-01 13:10:00,Zone B,2.88,16.64,23,normal
2025-04-01 13:15:00,Zone B,2.55,15.61,19,normal
2025-04-01 13:20:00,Zone A,2.94,15.9,23,normal
2025-04-01 13:25:00,Zone B,2.82,16.38,22,normal
2025-04-01 13:30:00,Zone A,2.93,13.6,22,normal
2025-04-01 13:35:00,Zone A,2.1,21.86,22,leak
2025-04-01 13:40:00,Zone C,2.85,15.05,22,normal
2025-04-01 13:45:00,Zone B,2.76,14.05,23,normal
2025-04-01 13:50:00,Zone A,2.78,16.37,25,normal
2025-04-01 13:55:00,Zone B,2.8,16.82,21,normal
2025-04-01 14:00:00,Zone A,1.86,18.98,22,leak
2025-04-01 14:05:00,Zone B,2.59,14.36,20,normal
2025-04-01 14:10:00,Zone C,2.64,13.9,25,normal
2025-04-01 14:15:00,Zone A,2.98,14.52,24,normal
2025-04-01 14:20:00,Zone C,2.65,13.4,21,normal
2025-04-01 14:25:00,Zone B,2.75,16.8,20,normal
2025-04-01 14:30:00,Zone A,2.55,13.04,22,normal
2025-04-01 14:35:00,Zone C,2.78,14.29,25,normal
2025-04-01 14:40:00,Zone A,2.59,16.97,21,normal
2025-04-01 14:45:00,Zone B,2.99,13.91,22,normal
2025-04-01 14:50:00,Zone A,2.74,15.45,25,normal
2025-04-01 14:55:00,Zone B,2.96,13.65,22,normal
2025-04-01 15:00:00,Zone C,2.84,15.98,24,normal
2025-04-01 15:05:00,Zone C,2.79,13.1,23,normal
2025-04-01 15:10:00,Zone A,2.59,13.62,24,normal
2025-04-01 15:15:00,Zone A,2.74,13.79,22,normal
2025-04-01 15:20:00,Zone A,2.63,16.46,23,normal
2025-04-01 15:25:00,Zone C,2.81,16.6,20,normal
2025-04-01 15:30:00,Zone B,2.88,13.66,21,normal
2025-04-01 15:35:00,Zone C,3.0,14.61,25,normal
2025-04-01 15:40:00,Zone C,2.0,21.6,20,leak
2025-04-01 15:45:00,Zone A,2.7,16.39,21,normal
2025-04-01 15:50:00,Zone C,2.99,16.7,19,normal
2025-04-01 15:55:00,Zone C,2.26,20.68,25,leak
2025-04-01 16:00:00,Zone B,2.8,14.0,20,normal
2025-04-01 16:05:00,Zone B,2.14,20.75,21,leak
2025-04-01 16:10:00,Zone A,2.62,16.87,19,normal
2025-04-01 16:15:00,Zone A,2.18,20.49,18,leak
2025-04-01 16:20:00,Zone A,2.67,14.43,24,normal
2025-04-01 16:25:00,Zone C,2.2,19.23,25,leak
2025-04-01 16:30:00,Zone B,2.86,14.05,21,normal
2025-04-01 16:35:00,Zone A,2.86,14.34,19,normal
2025-04-01 16:40:00,Zone A,2.94,16.84,18,normal
